price_date,ALTERNATIVE,CPI,EQ_SWE,EQ_WORLD,IR_1,IR_15,IR_5,PROPERTY,SPREAD
2003-12-31,100.0,278.0,224.48,4041.233665,0.0294,0.04892,0.03988,100.4,0.00379
2004-01-30,100.8121457,277.3,238.87,4241.075265,0.027374,0.048141,0.0405,100.9,0.004
2004-02-27,101.7255262,279.4,250.56,4341.993088,0.025854,0.046236,0.03755,101.4,0.0027
2004-03-31,102.6402226,279.4,248.29,4375.960151,0.02271,0.046868,0.03415,101.91,0.0029
2004-04-30,101.0888177,280.1,251.56,4331.790677,0.024333,0.049752,0.03875,102.41,0.0032
2004-05-31,100.9286634,278.9,248.48,4265.659388,0.025043,0.049939,0.0391,102.91,0.00385
2004-06-30,101.0171292,278.5,257.17,4393.988507,0.025852,0.049856,0.03975,102.31,0.0037
2004-07-30,101.9251449,278.2,250.96,4334.167142,0.025347,0.048613,0.03845,102.91,0.00371
2004-08-31,103.3923557,280.2,249.86,4273.239492,0.025753,0.04723,0.0369,103.41,0.0037
2004-09-30,103.9142685,281.0,257.95,4226.133582,0.025854,0.046137,0.03645,103.91,0.00345
2004-10-29,104.676721,279.4,255.96,4230.790907,0.025854,0.045289,0.035,104.32,0.0036
2004-11-30,104.4313021,279.4,270.62,4222.568884,0.025144,0.043485,0.03275,104.72,0.00315
2004-12-31,106.2480015,277.9,271.24,4331.681415,0.022813,0.041821,0.0332,107.63,0.00305
2005-01-31,106.9891173,279.2,272.68,4457.360912,0.022306,0.03915,0.03085,108.17,0.003
2005-02-28,106.805234,279.8,284.33,4503.128353,0.022306,0.039824,0.03185,108.6,0.0029
2005-03-31,106.4034576,280.2,284.72,4550.425474,0.022306,0.038429,0.0313,108.98,0.0034
2005-04-29,107.4416179,280.3,284.31,4505.791633,0.020785,0.034866,0.02775,109.39,0.00365
2005-05-31,108.3578976,280.4,302.21,4782.144486,0.020582,0.034024,0.02625,109.82,0.00248
2005-06-30,109.6201693,279.4,314.54,5098.460196,0.015918,0.031659,0.0231,111.79,0.0024
2005-07-29,109.1488189,279.9,331.12,5254.678637,0.017135,0.032242,0.0247,112.27,0.00255
2005-08-31,110.2079514,281.9,326.77,5179.819984,0.018452,0.031084,0.02475,112.71,0.00285
2005-09-30,109.4508501,282.4,346.31,5421.727749,0.018453,0.03162,0.0261,113.1,0.00265
2005-10-31,108.8087131,281.7,338.87,5448.237628,0.020481,0.034368,0.02965,112.94,0.00275
2005-11-30,109.1466631,281.8,351.65,5724.290008,0.021899,0.034844,0.03095,113.19,0.0025
2005-12-30,112.3787102,279.59,370.94,5774.974274,0.024232,0.033595,0.0314,121.66,0.00263
2006-01-31,112.4192453,280.9,376.13,5792.37437,0.025043,0.034896,0.0325,122.11,0.00283
2006-02-28,112.8458963,282.89,388.74,6014.969941,0.023625,0.034221,0.03145,122.43,0.00295
2006-03-31,112.176668,284.32,415.16,6051.163233,0.026462,0.036911,0.03445,122.8,0.00338
2006-04-28,112.036819,284.76,417.46,5921.003962,0.027169,0.039482,0.03591,123.14,0.00288
2006-05-31,112.1535393,284.68,382.56,5575.446804,0.027775,0.039828,0.0359,123.48,0.00328
2006-06-30,114.2827838,284.19,386.01,5570.092929,0.031034,0.040749,0.03795,130.54,0.00345
2006-07-31,115.4101781,284.38,380.93,5626.00815,0.031345,0.038845,0.0363,131.15,0.00393
2006-08-31,116.6201479,286.04,398.53,5782.649984,0.033416,0.037387,0.0357,131.39,0.00415
2006-09-29,117.4497696,286.07,419.5,5934.497914,0.03435,0.036453,0.0355,131.88,0.004
2006-10-31,118.1468408,286.43,438.97,6063.387005,0.03526,0.036741,0.03595,132.36,0.00403
2006-11-30,118.9387428,286.43,432.19,5900.298668,0.03604,0.035133,0.0356,132.0,0.00428
2006-12-29,122.4624544,285.01,465.12,6031.195462,0.03794,0.037267,0.03806,145.75,0.0044
2007-01-31,122.6233103,286.45,480.27,6204.458895,0.039229,0.039933,0.03985,146.23,0.00428
2007-02-28,124.1469737,288.33,468.83,6219.031816,0.037415,0.037541,0.0376,146.58,0.00485
2007-03-30,123.9585937,289.79,494.2,6341.406115,0.038403,0.038772,0.0391,147.05,0.00465
2007-04-30,124.6129396,289.48,527.52,6337.95068,0.040138,0.040379,0.04106,147.77,0.00453
2007-05-31,124.175074,289.95,536.79,6736.582227,0.040617,0.042129,0.0426,148.33,0.00475
